NASAThes URI:	NASAThes term	Similarity	SWEET term	SWEET URI
http://synaptica.net/zthes/182447	bathymetry	1.00	bathymetry	http://sweetontology.net/propspaceheight/bathymetry
http://synaptica.net/zthes/182463	beat	1.00	beat	http://sweetontology.net/phenwavenoise/beat
http://synaptica.net/zthes/39239	bedrock	1.00	bedrock	http://sweetontology.net/realmgeol/bedrock
http://synaptica.net/zthes/60865	behavior	1.00	behavior	http://sweetontology.net/human/behavior
http://synaptica.net/zthes/60870	bentonite	1.00	bentonite	http://sweetontology.net/matrsediment/bentonite
http://synaptica.net/zthes/39273	benzene	1.00	benzene	http://sweetontology.net/matrorganiccompound/benzene
http://synaptica.net/zthes/60871	bernoulli theorem	1.00	bernoulli theorem	http://sweetontology.net/reprscilaw/bernoullitheorem
http://synaptica.net/zthes/39285	beryllium	1.00	beryllium	http://sweetontology.net/matrelement/beryllium
http://synaptica.net/zthes/60876	bias	1.00	bias	http://sweetontology.net/propdifference/bias
http://synaptica.net/zthes/39338	binding energy	1.00	binding energy	http://sweetontology.net/propenergy/bindingenergy
http://synaptica.net/zthes/64561	bioavailability	1.00	bioavailability	http://sweetontology.net/propfraction/bioavailability
http://synaptica.net/zthes/60883	biochemical oxygen demand	1.00	biochemical oxygen demand	http://sweetontology.net/propchemical/biochemicaloxygendemand
http://synaptica.net/zthes/60884	biochemistry	1.00	biochemistry	http://sweetontology.net/humanknowledgedomain/biochemistry
http://synaptica.net/zthes/182484	biodiversity	1.00	biodiversity	http://sweetontology.net/phenecology/biodiversity
http://synaptica.net/zthes/39363	biogeochemistry	1.00	biogeochemistry	http://sweetontology.net/humanknowledgedomain/biogeochemistry
http://synaptica.net/zthes/182487	biological activity	1.00	biological activity	http://sweetontology.net/phenbiol/biologicalactivity
http://synaptica.net/zthes/39370	bioluminescence	1.00	bioluminescence	http://sweetontology.net/procchemical/bioluminescence
http://synaptica.net/zthes/60892	biomass	1.00	biomass	http://sweetontology.net/matrbiomass/biomass
http://synaptica.net/zthes/60892	biomass	1.00	biomass	http://sweetontology.net/matrenergy/biomass
http://synaptica.net/zthes/39406	birth	1.00	birth	http://sweetontology.net/phenbiol/birth
http://synaptica.net/zthes/39471	blocking	1.00	blocking	http://sweetontology.net/phenatmopressure/blocking
http://synaptica.net/zthes/39488	blowing	1.00	blowing	http://sweetontology.net/phenatmowind/blowing
http://synaptica.net/zthes/39491	blue green algae	1.00	blue green algae	http://sweetontology.net/matrmicrobiota/bluegreenalgae
http://synaptica.net/zthes/182526	bod	1.00	bod	http://sweetontology.net/propchemical/bod
http://synaptica.net/zthes/39537	boiling	1.00	boiling	http://sweetontology.net/procstatechange/boiling
http://synaptica.net/zthes/39597	boron	1.00	boron	http://sweetontology.net/matrelement/boron
http://synaptica.net/zthes/60938	bouguer law	1.00	bouguer law	http://sweetontology.net/reprscilaw/bouguerlaw
http://synaptica.net/zthes/60943	boussinesq approximation	1.00	boussinesq approximation	http://sweetontology.net/reprscimodel/boussinesqapproximation
http://synaptica.net/zthes/39676	breccia	1.00	breccia	http://sweetontology.net/matrrock/breccia
http://synaptica.net/zthes/60955	brightness	1.00	brightness	http://sweetontology.net/propenergyflux/brightness
http://synaptica.net/zthes/60957	brightness temperature	1.00	brightness temperature	http://sweetontology.net/proptemperature/brightnesstemperature
http://synaptica.net/zthes/39713	bromine	1.00	bromine	http://sweetontology.net/matrelement/bromine
