GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
5ed7811a-2ba1-4985-9f1c-a78c802fa27f	nitrogen	1.00	nitrogen	http://sweetontology.net/matrelement/nitrogen
83cf51f6-8c03-4f6d-b605-fde9818c7805	organic matter	1.00	organic matter	http://sweetontology.net/realmsoil/organicmatter
fb3ce3be-d830-407f-bd7c-58d66c24b6be	permafrost	1.00	permafrost	http://sweetontology.net/realmsoil/permafrost
4962dabc-b426-4c84-8147-12e15645baff	phosphorus	1.00	phosphorus	http://sweetontology.net/matrelement/phosphorus
c07fe67b-234e-4293-9f09-abaf9612c0e9	potassium	1.00	potassium	http://sweetontology.net/matrelement/potassium
e3d3f76d-0ffe-4616-9988-0520e78cf842	sulfur	1.00	sulfur	http://sweetontology.net/matrelement/sulfur
5c349776-dd95-483e-a5da-e8d1b1434985	thermal conductivity	1.00	thermal conductivity	http://sweetontology.net/propconductivity/thermalconductivity
a956d045-3b12-441c-8a18-fac7d33b2b4e	agriculture	1.00	agriculture	http://sweetontology.net/humanagriculture/agriculture
6e7306a1-79a5-482e-b646-74b75a1eaa48	angstrom exponent	1.00	angstrom exponent	http://sweetontology.net/propdimensionlessratio/angstromexponent
27478148-b4b6-4c89-8829-08d2ee7bfe10	cloud condensation nuclei	1.00	cloud condensation nuclei	http://sweetontology.net/matraerosol/cloudcondensationnuclei
080389c4-68d4-41ee-ab89-070794038c8e	carbon monoxide	1.00	carbon monoxide	http://sweetontology.net/matrcompound/carbonmonoxide
c79453a3-ed2f-4ec4-9298-bf9fd11d08eb	lead	1.00	lead	http://sweetontology.net/matrelement/lead
c79453a3-ed2f-4ec4-9298-bf9fd11d08eb	lead	1.00	lead	http://sweetontology.net/realmcryo/lead
bad08657-da2b-4e2b-9804-25c5732bc795	smog	1.00	smog	http://sweetontology.net/phenatmofog/smog
227cf2d4-968a-4312-89e6-8c6bcf616e5d	turbidity	1.00	turbidity	http://sweetontology.net/propindex/turbidity
9337898d-68dc-43d7-93a9-6afdb4ab1784	visibility	1.00	visibility	http://sweetontology.net/propordinal/visibility
9337898d-68dc-43d7-93a9-6afdb4ab1784	visibility	1.00	visibility	http://sweetontology.net/propspacedistance/visibility
77397026-09c9-44e0-b85f-77b2bc9b1630	air quality	1.00	air quality	http://sweetontology.net/phenatmosky/airquality
77397026-09c9-44e0-b85f-77b2bc9b1630	air quality	1.00	air quality	http://sweetontology.net/phenenvirimpact/airquality
5d703cfe-2f7c-4736-acbc-ec4e4f4f8eef	barometric altitude	1.00	barometric altitude	http://sweetontology.net/propspaceheight/barometricaltitude
d6aec072-daf9-4f96-b667-6c7831cf6bdd	geopotential height	1.00	geopotential height	http://sweetontology.net/propspaceheight/geopotentialheight
dacbf270-1734-4503-bab8-a32cdaff3012	mesopause	1.00	mesopause	http://sweetontology.net/realmatmo/mesopause
82191e97-53ba-413d-9a08-acd8b848e0b0	stratopause	1.00	stratopause	http://sweetontology.net/realmatmo/stratopause
c3447c90-7490-4f04-89c1-c5274ba8f8f6	tropopause	1.00	tropopause	http://sweetontology.net/realmatmo/tropopause
16bfcf54-f8e1-4c8e-9bd4-a1ac06ea95a0	altitude	1.00	altitude	http://sweetontology.net/propspaceheight/altitude
c3b81888-8a39-4b3f-8033-4c077797bcba	carbon dioxide	1.00	carbon dioxide	http://sweetontology.net/matrcompound/carbondioxide
88a1b416-1589-45a4-9923-452975ec35c7	carbon monoxide	1.00	carbon monoxide	http://sweetontology.net/matrcompound/carbonmonoxide
bc05d7d2-3c96-4bb6-b759-d45e3c673b86	formaldehyde	1.00	formaldehyde	http://sweetontology.net/matrorganiccompound/formaldehyde
af157837-bdbd-4a9a-b24e-6a79adfef57f	hydrogen cyanide	1.00	hydrogen cyanide	http://sweetontology.net/matrorganiccompound/hydrogencyanide
c6b2279c-804f-42bf-aa8a-0c81f9ecf6cd	hypochlorous monoxide	1.00	hypochlorous monoxide	http://sweetontology.net/matrcompound/hypochlorousmonoxide
